Date,High,Low,Open,Close,Volume,Adj Close,N
41275.00,107.9854202,106.6826477,107.309906,107.5029144,2104064,87.82765961,0
41276.00,108.4196777,107.5511627,108.0819244,108.0819244,1949486,88.30070496,0
41277.00,108.6126785,105.9106293,108.5644302,106.2966385,1665263,86.84217072,0
41278.00,106.8756485,104.704361,106.151886,106.3448944,1408714,86.88160706,0
41281.00,106.6343994,104.704361,106.6343994,104.993866,1614341,85.7778244,0
41282.00,106.151886,104.125351,105.0903702,105.6693802,1215570,86.32971954,0
41283.00,106.9721527,104.8491135,106.151886,105.3798752,1677989,86.09319305,0
41284.00,106.441391,104.3183517,105.5246277,104.9456177,1186942,85.73841095,0
41285.00,105.3316193,102.7743301,104.993866,103.0638351,1800251,84.20104218,0
41288.00,103.6428452,102.1953201,103.3533401,102.6295776,2220008,83.84625244,0
41289.00,104.8491135,101.8093109,102.8708267,104.2701035,4213869,85.1865387,0
41290.00,104.8008652,101.8575592,104.2218552,102.3883209,1521785,83.64915466,0
41291.00,103.1603317,101.3750534,102.5813217,102.8225784,1926688,84.00392914,0
41292.00,104.993866,101.7610626,102.9673309,104.3666077,2164562,85.2653656,0
41295.00,105.3316193,103.3050842,104.5113602,104.7526093,1341868,85.58072662,0
41296.00,104.993866,102.3883209,104.7526093,103.6428452,2114960,84.67405701,0
41297.00,106.730896,102.5330734,103.8358459,106.151886,2816842,86.72390747,0
41298.00,106.6343994,102.2918167,106.2001343,103.8840942,1877227,84.87117004,0
41299.00,103.3050842,101.8093109,103.1603317,102.2435684,3611744,83.53090668,0
41302.00,103.1603317,101.9540634,102.6295776,102.2918167,1429709,83.57030487,0
41303.00,104.0771027,102.0988159,102.2918167,102.7743301,1282785,83.96451569,0
41304.00,103.2568359,99.44501495,103.2568359,99.78277588,1980294,81.52047729,0
41305.00,99.68627167,96.88772583,99.68627167,97.56323242,4132221,79.70714569,0
41306.00,99.54151917,97.56323242,97.56323242,98.72125244,5290574,80.65322113,0
41309.00,99.92752838,96.50171661,99.39676666,96.79122162,1282765,79.07643127,0
41310.00,97.90099335,94.8611908,95.58494568,95.19894409,3275195,77.77558136,0
41311.00,96.83946991,94.95768738,95.6332016,95.53669739,3606992,78.0515213,0
41312.00,95.82620239,93.22065735,95.53669739,93.55841064,3550916,76.4352951,0
41313.00,94.47518158,92.49689484,93.60666656,93.75141907,3583407,76.59297943,0
41316.00,94.90943909,92.15914154,94.37867737,94.18567657,4343164,76.94776154,0
41317.00,94.18567657,92.83464813,93.60666656,93.31716156,1345520,76.23819733,0
41318.00,93.79966736,90.3256073,93.36540985,90.75986481,2480936,74.14894104,0
41319.00,91.96613312,89.60184479,90.75986481,91.67662811,3140302,74.8979187,0
41320.00,93.60666656,90.9528656,90.9528656,93.17240906,1990309,76.11994171,0
41323.00,93.99266815,92.06263733,93.94441986,92.88290405,1316953,75.88342285,0
41324.00,93.60666656,92.20738983,92.88290405,93.41365814,1597629,76.31703949,0
41325.00,94.42692566,93.22065735,93.94441986,93.99266815,1579223,76.79006958,0
41326.00,94.8611908,93.26890564,93.79966736,93.89617157,3323998,76.71124268,0
41327.00,95.05419159,92.64164734,94.04092407,93.94441986,2534114,76.75065613,0
41330.00,95.39194489,93.60666656,93.94441986,94.8611908,1942235,77.49964142,0
41331.00,95.24719238,93.79966736,94.47518158,93.94441986,1341396,76.75065613,0
41332.00,94.71643066,93.02765656,94.61993408,93.99266815,2903506,76.79006958,0
41333.00,95.4884491,89.89134979,94.66818237,91.0976181,5877090,74.42488098,0
41334.00,94.8611908,89.69834137,90.90461731,93.94441986,3524405,76.75065613,0
41337.00,94.76468658,92.83464813,93.55841064,93.84791565,3375327,76.67180634,0
41338.00,95.53669739,92.44864655,94.42692566,95.29544067,2092487,77.85440826,0
41339.00,96.16396332,94.57167816,95.58494568,94.71643066,1982397,77.38137817,0
41340.00,95.9709549,93.84791565,95.29544067,94.47518158,1458872,77.18427277,0
41341.00,95.72970581,94.57167816,94.57167816,95.34369659,871245,77.8938446,0
41344.00,98.04574585,94.8611908,95.4884491,97.61148834,2042613,79.7465744,0
41345.00,97.80448914,94.47518158,97.17723083,94.61993408,2988567,77.30253601,0
